Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"AL'S RIVER (IRE)",2023,GELDING,"ALKUMAIT (GB)","PECHORA (IRE)","James Horton",65,-2,,,,,,,,,,
"ALAFDHAL (IRE)",2018,GELDING,"LOPE DE VEGA (IRE)","AFDHAAD (GB)","Phil McEntee",58,,,,,,,,,,,
"ALAMINOS (GB)",2023,COLT,"PINATUBO (IRE)","JUMIRA PRINCESS (IRE)","Kevin Ryan",85,,,,,,,,,,,
"ALAN BRESIL (GB)",2020,GELDING,"BLUE BRESIL (FR)","SMUGLIN (GB)","Nick Scholfield",,,,,,,,,,101,-1,collateral
"ALAPHILIPPE (IRE)",2014,GELDING,"MOROZOV (USA)","OSCAR BIRD (IRE)","Mrs A. Slatter",,,,,,,125,+7,,,,
"ALARMING (GB)",2023,FILLY,"A'ALI (IRE)","HOOPMALASSIE (USA)","Ralph Beckett",93,,,,,,,,,,,
"ALASHOS (FR)",2022,GELDING,"SHOWCASING (GB)","EXCEED LOOSE (GB)","Chris Gordon",58,+6,,,,,,,,,,
"ALASKAN GOLD (IRE)",2021,GELDING,"KODIAC (GB)","LUMINOUS GOLD (GB)",,82,,,,,,,,,,,
"ALASKAN LIGHT (IRE)",2023,FILLY,"KODIAC (GB)","LUMINOUS GOLD (GB)",,67,,,,,,,,,,,
"ALASRAE (GB)",2023,GELDING,"HAVANA GREY (GB)","UP TO SPEED (GB)","George Boughey",82,+1,,,,,,,,,,
"ALAZWAR (IRE)",2018,GELDING,"AWTAAD (IRE)","VENETIAN BEAUTY (USA)","Archie Watson",58,-2,,,,,,,,,,
"ALBA CRUS (IRE)",2021,GELDING,"JIMMY TWO TIMES (FR)","KOLOSSEUM (GER)","Warren Greatrex",,,,,,,,,,100,,
"ALBA GU BRATH (GB)",2023,COLT,"STUDY OF MAN (IRE)","ALEA IACTA (GB)","Charlie Johnston",76,,,,,,,,,,,
"ALBANY (GB)",2020,FILLY,"LOPE DE VEGA (IRE)","ALYSSA (GB)","Ralph Beckett",93,,,,,,,,,,,
"ALBASHEER (IRE)",2018,GELDING,"SHAMARDAL (USA)","MUTEBAH (IRE)","Archie Watson",95,,,,,,,,,,,
"ALBAYDAA (IRE)",2023,FILLY,"PINATUBO (IRE)","MANAAJIM (IRE)","William Haggas",83,,,,,,,,,,,
"ALBEGONE (GB)",2018,GELDING,"ALHEBAYEB (IRE)","PACNGO (GB)","Tim Easterby",66,-1,,,,,,,,,,
"ALBERT CEE (FR)",2020,GELDING,"ACLAIM (IRE)","ALZAHRA (GB)","P. Charalambous & J. Clutterbuck",60,,,,,,,,,,,
"ALBERT LASKER (IRE)",2021,GELDING,"ADVERTISE (GB)","SAMUNA (FR)",,56,,,,,,,,,,,
"ALBERT PARK (IRE)",2020,GELDING,"CAMELOT (GB)","WANNABE SPECIAL (GB)","Nigel Hawke",,,,,,,,,,77,,
"ALBERTINI STAR (IRE)",2023,FILLY,"ACCLAMATION (GB)","HEROIC STAR (IRE)","Alan King",63,,,,,,,,,,,
"ALBESEEINGYER (GB)",2019,FILLY,"AL KAZEEM (GB)","MAGIC DESTINY (GB)","Steph Hollinshead",69,,,,,,,,,,,
"ALBEYOURS (GB)",2021,FILLY,"AL KAZEEM (GB)","INAMINUTE (IRE)","Steph Hollinshead",50,,,,,,,,,,,
"ALBIE LITTLEWOOD (IRE)",2019,GELDING,"OCOVANGO (GB)","TALKTOTHETAIL (IRE)","Dan Skelton",,,,,,,,,,112,,
"ALBUS ANNE (GB)",2019,FILLY,"MAYSON (GB)","ASMAHAN (GB)","Jimmy Fox",70,,,,,,,,,,,
"ALCARATH (IRE)",2022,GELDING,"ACCLAMATION (GB)","PELLUCID (GB)","Alan King",88,-1,,,,,,,,,,
"ALCARAZ (FR)",2019,GELDING,"INTELLO (GER)","TERRE (FR)","George Baker",85,,,,,,,,,,,
"ALCEDO (IRE)",2018,GELDING,"VADAMOS (FR)","DELIZIOSA (IRE)","Venetia Williams",,,,,,,125,,,,,
"ALDERLEY CHARLIE (GB)",2020,GELDING,"ASK (GB)","ALDERLEY HEIGHTS (GB)","Polly Gundry",,,,,,,68,,,68,,
"ALDERMAN (GB)",2023,COLT,"STUDY OF MAN (IRE)","ALAGAPPA (GB)","Richard Hannon",83,,,,,,,,,,,
"ALEEN (GB)",2023,FILLY,"STUDY OF MAN (IRE)","ALUMNA (USA)","Sir Mark Prescott Bt",73,,,,,,,,,,,
"ALEEZDANCER (IRE)",2019,GELDING,"FAST COMPANY (IRE)","CLIFTON DANCER (GB)",,92,,,,,,,,,,,
"ALEMBIC (GB)",2023,GELDING,"STUDY OF MAN (IRE)","ALVARITA (GB)","Sir Mark Prescott Bt",56,,,,,,,,,,,
"ALENTEJO (FR)",2019,GELDING,"SAINT DES SAINTS (FR)","AUBANA CELESTE (FR)","Nicky Henderson",,,,,,,,,,126,,
"ALEPPO PEPPER (IRE)",2022,FILLY,"APPROVE (IRE)","CHEWOREE (GB)","John Ryan",59,-3,,,,,,,,,,
"ALESSIA FERNANDA (IRE)",2020,FILLY,"STARSPANGLEDBANNER (AUS)","COLOUR BRIGHT (IRE)","Declan Carroll",74,+4,,,,,,,,,,
"ALEX THE GREAT (IRE)",2020,GELDING,"CAMELOT (GB)","MOONRISE LANDING (IRE)","Tony Carroll",45,,,,,,,,,,,
"ALEXEI (GER)",2020,GELDING,"TAI CHI (GER)","ANDROMEDA (GER)","Joe Tizzard",,,,,,,,,,158,,
"ALFA DUPLICATE (IRE)",2023,FILLY,"KODIAC (GB)","LADY OF ACCLAIM (IRE)","Ivan Furtado",72,,,,,,,,,,,
"ALFA KELLENIC (GB)",2021,FILLY,"HAVANA GREY (GB)","SILHUETTE (IRE)","Ivan Furtado",95,,,,,,,,,,,
"ALFA MOONSTONE (GB)",2021,FILLY,"HAVANA GREY (GB)","BLITHE SPIRIT (GB)",,47,,,,,,,,,,,
"ALFA PATISSERIE (IRE)",2023,FILLY,"KODI BEAR (IRE)","PUFF PASTRY (GB)",,63,,,,,,,,,,,
"ALFA SEA BREEZE (IRE)",2022,FILLY,"DANDY MAN (IRE)","TEXAS QUEEN (GB)","Ivan Furtado",55,,,,,,,,,,,
"ALFA WHITEBURD (IRE)",2021,GELDING,"COTAI GLORY (GB)","SUAIMHNEACH (IRE)","Ivan Furtado",67,,,74,,,,,,,,
"ALFARAZ (GB)",2023,COLT,"NATHANIEL (IRE)","SEQUILLA (FR)","Andrew Balding",90,,,,,,,,,,,
"ALFAREQA (GB)",2022,FILLY,"FRANKEL (GB)","MILLISLE (IRE)",,82,,,,,,,,,,,
"ALFIE D (GB)",2022,GELDING,"TIME TEST (GB)","PADELLA (IRE)",,60,,,,,,,,,,,
"ALFIE'S PRINCESS (IRE)",2017,FILLY,"SHIROCCO (GER)","DUNAHALL QUEEN (IRE)","Sam Thomas",,,,,,,124,,,,,
"ALFRED BOUCHER (GB)",2016,GELDING,"AUSSIE RULES (USA)","POLICY TERM (IRE)","Owen Burrows",84,,,,,,,,,,,
"ALFRED SPERO (GB)",2022,GELDING,"GOLDEN HORN (GB)","SCALA REGIA (FR)","Cynthia Woods",57,,,,,,,,,,,
"ALI SHUFFLE (GB)",2023,FILLY,"A'ALI (IRE)","ALWAYS DREAMING (GB)",,86,,,,,,,,,,,
"ALI STAR BERT (GB)",2016,GELDING,"PHOENIX REACH (IRE)","CLUMBER PURSUITS (GB)",,,,,,,,103,,,,,
"ALIBEY (GB)",2022,FILLY,"GOLDEN HORN (GB)","CRIMSON ROSETTE (IRE)","Dylan Cunha",69,,,,,,,,,98,,
"ALICE DE CLARE (IRE)",2023,FILLY,"SPACE BLUES (IRE)","ELEGANT MAXIME (FR)","James Fanshawe",68,+2,,,,,,,,,,
"ALICE'S IMPACT (GB)",2021,FILLY,"MASSAAT (IRE)","CEEDWELL (GB)",,54,,,,,,,,,,,
"ALICE'S INFLUENCE (GB)",2023,FILLY,"MASSAAT (IRE)","CEEDWELL (GB)","David Evans",50,+7,,,,,,,,,,
"ALIDAM (FR)",2021,GELDING,"GREAT PRETENDER (IRE)","ASTARADAME (FR)","Sophie Leech",,,,,,,,,,98,,
"ALIEN STORM (IRE)",2018,GELDING,"GETAWAY (GER)","MISSUSAN (IRE)","Charlie Longsdon",,,,,,,128,,,123,,
"ALIGN THE STARS (IRE)",2021,GELDING,"SEA THE STARS (IRE)","KITCARA (GB)","Charlie Johnston",96,,,,,,,,,,,
"ALIOSKI (GB)",2017,GELDING,"KODIAC (GB)","LULUTI (IRE)",,53,,,,,,,,,,,
"ALIVE AGAIN (GB)",2022,GELDING,"RAJASINGHE (IRE)","HEATHER LARK (IRE)",,66,,,,,,,,,,,
"ALJEZUR (IRE)",2021,GELDING,"GALILEO GOLD (GB)","LADY MEGA (IRE)",,47,,,,,,,,,,,
"ALKUMATIC JO JO (IRE)",2023,FILLY,"ALKUMAIT (GB)","APPROACHABLE (IRE)","Ivan Furtado",67,,,,,,,,,,,
"ALKUWARRIOR (IRE)",2023,GELDING,"ALKUMAIT (GB)","ELEGANT PEACE (IRE)","Christopher Mason",71,-3,,,,,,,,,,
"ALL ABOUT GEORGE (GB)",2022,GELDING,"TASLEET (GB)","ROSHINA (IRE)","Keiran Burke",45,,,,,,,,,,,
"ALL AUTHORIZED (FR)",2019,GELDING,"AUTHORIZED (IRE)","POLYSHEBA (FR)","Gary & Josh Moore",,,,,,,,,,91,,
"ALL COST (IRE)",2022,GELDING,"IFFRAAJ (GB)","BROWN HONEY (GB)",,49,,,,,,,,,,,
"ALL IN YOU (FR)",2020,GELDING,"TRIPLE THREAT (FR)","AROUND ME (IRE)","Warren Greatrex",,,,,,,,,,127,,
"ALL INN HAND (GB)",2020,FILLY,"PETHER'S MOON (IRE)","HANDMAID (GB)","Mickey Bowen",,,,,,,108,,,,,
"ALL LOVED UP (IRE)",2015,FILLY,"WINGED LOVE (IRE)","ROWDY EXIT (IRE)","H. Brown",,,,,,,93,+7,,,,
"ALL MOONSHINE (GB)",2022,FILLY,"OASIS DREAM (GB)","ALLA LUNA (GB)","Andrew Balding",87,,,,,,,,,,,
"ALL NIGHT PARKING (IRE)",2018,GELDING,"SHOLOKHOV (IRE)","DAVINIA'S TIP (IRE)","Carroll Gray",,,,,,,,,,86,,
"ALL ONE WORD (IRE)",2019,GELDING,"SHOLOKHOV (IRE)","UNA SORPRESA (GER)","Donald McCain",,,,,,,,,,97,+1,collateral
"ALL THE GLORY (GB)",2017,FILLY,"FAME AND GLORY (GB)","GLORYBE (GER)","Jonjo & A.J. O'Neill",,,,,,,123,,,,,
"ALL TOO BEAUTIFUL (GB)",2022,FILLY,"BATED BREATH (GB)","REGATTA (FR)","Roger Teal",67,,,,,,,,,,,
"ALL WAYS AND EVER (IRE)",2019,FILLY,"ZOFFANY (IRE)","CLOUDY MISS (IRE)","Victor Thompson",,,,,,,83,,,,,
"ALL WAYS GLAMOROUS (GB)",2021,GELDING,"CABLE BAY (IRE)","GO GLAMOROUS (IRE)","Christopher Mason",86,,,,,,,,,,,
"ALLA STELLA (GB)",2022,FILLY,"STUDY OF MAN (IRE)","ALLA SPERANZA (GB)","Sir Mark Prescott Bt",98,+2,,,,,,,,,,
"ALLBETSOFF (IRE)",2016,GELDING,"CARLOTAMIX (FR)","LONGER LASHES (IRE)","Kevin Hunter",,,,,,,,,,89,,
"ALLEGRESSE (GB)",2023,GELDING,"OASIS DREAM (GB)","A LEGACY (GB)","Andrew Balding",93,,,,,,,,,,,
"ALLEGRINO (IRE)",2023,FILLY,"OASIS DREAM (GB)","ALLEGREZZA (GB)","Andrew Balding",68,,,,,,,,,,,
"ALLFOR (IRE)",2021,GELDING,"MAHLER (GB)","TIFFINY GALE (IRE)","Lucinda Russell & Michael Scudamore",,,,,,,,,,109,,
"ALLIBABA (GB)",2018,GELDING,"ALHEBAYEB (IRE)","CONTENANCE (IRE)","Adrian Keatley",,,,,,,,,,73,,
"ALLIGATOR ALLEY (GB)",2017,GELDING,"KINGMAN (GB)","OVERTURNED (GB)","Ruth Carr",91,,,,,,,,,,,
"ALLONSY (GB)",2021,FILLY,"STUDY OF MAN (IRE)","ALYSSA (GB)",,102,,,,,,,,,,,
"ALMA DE FUEGO (IRE)",2023,COLT,"PHOENIX OF SPAIN (IRE)","ALMARADA (FR)",,69,,,,,,,,,,,
"ALMAQAM (GB)",2021,COLT,"LOPE DE VEGA (IRE)","TALMADA (USA)","Ed Walker",122,,,,,,,,,,,
"ALMARADA PRINCE (IRE)",2021,GELDING,"PRINCE OF LIR (IRE)","ALMARADA (FR)","Paul Midgley",79,,,,,,,,,,,
"ALMATY STAR (IRE)",2020,GELDING,"KODIAC (GB)","SANTE (IRE)","Robert Cowell",83,,,,,,,,,,,
"ALMAVILLALOBAS (GB)",2020,FILLY,"MASTER CARPENTER (IRE)","NATION (USA)","Jim & Suzi Best",36,,,,,,,,,,,
"ALMAZHAR GARDE (FR)",2015,GELDING,"KAPGARDE (FR)","LOIN DE MOI (FR)","Charlie Longsdon",,,,,,,120,,,,,
"ALMEIRINDA (FR)",2019,FILLY,"MASKED MARVEL (GB)","ALTITUDE OCEANE (FR)","Venetia Williams",,,,,,,93,,,93,,
"ALMEKAREM (IRE)",2022,COLT,"KINGMAN (GB)","TARFASHA (IRE)","Sir Mark Prescott Bt",74,,,,,,,,,,,
"ALMERAQ (GB)",2022,COLT,"DARK ANGEL (IRE)","MANAAJIM (IRE)","William Haggas",105,,,,,,,,,,,
"ALMERIC (GB)",2022,COLT,"STUDY OF MAN (IRE)","ALVARITA (GB)","Andrew Balding",117,,,,,,,,,,,
"ALMIZAN (GB)",2021,FILLY,"NIGHT OF THUNDER (IRE)","MONTEJA (GB)",,49,,,,,,,,,,,
"ALMOSH'HER (GB)",2021,GELDING,"SEA THE STARS (IRE)","ORANGE SUN (GB)",,96,,,,,,,,,,,
"ALMUHIT (IRE)",2019,GELDING,"SEA THE STARS (IRE)","EZIMA (IRE)","Faye Bramley",85,,,,,,,,,109,,
"ALMUTRAF (IRE)",2022,GELDING,"PROFITABLE (IRE)","SEREZA (IRE)",,46,,,,,,,,,,,
"ALNAYEF (IRE)",2021,GELDING,"SEA THE STARS (IRE)","EMOTION (FR)","Jim Goldie",59,,,,,,,,,,,
"ALNILAM (FR)",2019,GELDING,"SEA THE STARS (IRE)","AWARENESS (USA)","Olly Murphy",,,,,,,137,,,137,new,
"ALOBAYYAH (GB)",2022,FILLY,"GHAIYYATH (IRE)","AQUATINTA (GER)","William Haggas",89,,,,,,,,,,,
"ALONDRA (GB)",2022,FILLY,"SERGEI PROKOFIEV (CAN)","WEISSE SOCKEN (IRE)","Scott Dixon",76,-1,,,,,,,,,,
"ALPARSLAN (IRE)",2023,COLT,"DANDY MAN (IRE)","LACIREDESKI (GB)","K. R. Burke",112,,,,,,,,,,,
"ALPHA CAPTURE (IRE)",2020,GELDING,"COTAI GLORY (GB)","YORK EXPRESS (GB)","Roger Fell",74,,,,,,,,,,,
"ALPHA CRUCIS (IRE)",2020,GELDING,"AUSTRALIA (GB)","NIGHT FAIRY (IRE)","Gary & Josh Moore",92,,,,,,,,,,,
"ALPHA MAGIC (GB)",2022,GELDING,"ARDAD (IRE)","PIECE OF MAGIC (GB)","Michael & David Easterby",81,-2,,,,,,,,,,
"ALPINE CULTURE (GB)",2023,GELDING,"SHOWCASING (GB)","YODELLING (USA)","James Owen",76,new,,,,,,,,,,
"ALPINE GIRL (IRE)",2020,FILLY,"ACCLAMATION (GB)","ALMOND BROOK (GB)","Julie Camacho",76,+5,,,,,,,,,,
"ALPINE OASIS (GB)",2021,FILLY,"OASIS DREAM (GB)","LANGLAUF (USA)",,68,,,,,,,,,,,
"ALPINE SIERRA (IRE)",2018,GELDING,"DISTORTED HUMOR (USA)","UNACCOMPANIED (IRE)","Jim Goldie",52,,,,,,,,,,,
"ALPINE STROLL (GB)",2018,GELDING,"NATHANIEL (IRE)","KAMMAAN (GB)","Tony Culhane & Stella Barclay",74,,,,,,,,,,,
"ALRAZEEN (IRE)",2021,GELDING,"GALILEO GOLD (GB)","JENLEN (USA)","Keiran Burke",86,,,,,,,,,,,
"ALREET CHA (IRE)",2021,FILLY,"DANDY MAN (IRE)","DUTCH COURAGE (GB)",,62,,,,,,,,,,,
"ALRIGHT DAI (IRE)",2018,GELDING,"NO RISK AT ALL (FR)","THE COOKIE JAR (IRE)","Neil Mulholland",,,,,,,105,,,,,
"ALSAKIB (GB)",2020,GELDING,"KINGMAN (GB)","AMERICA NOVA (FR)","Donald McCain",108,,,,,,,,,120,,
"ALSHIMALI (IRE)",2021,GELDING,"INVINCIBLE SPIRIT (IRE)","GHARBEYA (USA)","Tony Carroll",59,,,,,,,,,,,
"ALTA RICA (GB)",2022,FILLY,"STUDY OF MAN (IRE)","ALTA MODA (GB)","Marcus Tregoning",65,,,,,,,,,,,
"ALTAREQ (GB)",2022,GELDING,"FRANKEL (GB)","ANEEN (IRE)","Jim Goldie",80,,,,,,,,,,,
"ALTHER WALDEN (HUN)",2022,GELDING,"STUDY OF MAN (IRE)","ALTERNANTHERA (GB)","George Scott",86,,,,,,,,,,,
"ALTMORE (FR)",2021,GELDING,"SHOWCASING (GB)","KEEGSQUAW (IRE)",,79,,,,,,,,,,,
"ALTO ALTO (FR)",2017,GELDING,"FALCO (USA)","BEAUTYFUL (IRE)","Chris Gordon",,,,,,,102,,,,,
"ALTOBELLI (IRE)",2018,GELDING,"MAXIOS (GB)","ATIANA (GB)","Harry Fry",,,,,,,,,,144,,
"ALVESTA (GB)",2021,FILLY,"STUDY OF MAN (IRE)","ALINSTANTE (GB)","George Bewley",49,,,,,,,,,81,,
"ALVIN (IRE)",2023,GELDING,"KODI BEAR (IRE)","BOSTON BEAUTIES (IRE)","George Scott",88,+7,,,,,,,,,,
"ALWAYS A REASON (IRE)",2019,GELDING,"ELUSIVE PIMPERNEL (USA)","GAYE ANNIE (IRE)","Rebecca Menzies",,,,,,,106,,,,,
"ALWAYS A SAINT (IRE)",2023,GELDING,"ST MARK'S BASILICA (FR)","COME APRIL (GB)","Charlie Fellowes",59,,,,,,,,,,,
"ALWAYS A STAR (GB)",2021,GELDING,"SEA THE STARS (IRE)","COMPLEXION (GB)",,68,,,,,,,,,,,
"ALWAYS BUSY (IRE)",2018,GELDING,"WESTERNER (GB)","DAVIDS JEWEL (IRE)","Christian Williams",,,,,,,104,,,,,
"ALWAYS FEARLESS (IRE)",2017,GELDING,"CAMACHO (GB)","ZENELLA (GB)","Richard Hannon",55,,,,,,,,,,,
"ALY A'ALI (GB)",2023,FILLY,"A'ALI (IRE)","POLIGHT (GB)",,57,,,,,,,,,,,
"ALY LOUISE (GB)",2023,FILLY,"LOPE Y FERNANDEZ (IRE)","NUSHAFREEN (GB)",,44,,,,,,,,,,,
"ALYANAABI (IRE)",2021,GELDING,"TOO DARN HOT (GB)","ALYAMAAMA (USA)","Owen Burrows",109,,,,,,,,,,,
"ALYARA (GB)",2018,FILLY,"CABLE BAY (IRE)","NORWAY CROSS (GB)","Joe Ponting",46,,,,,,,,,,,
"AM I BOVVERED (GB)",2020,FILLY,"CLOUDINGS (IRE)","WINTER PERIL (IRE)","Sandy Forster",,,,,,,,,,75,,
"AMAKHALA (GB)",2023,GELDING,"MAYSON (GB)","MADELEINE BOND (GB)","Mark Usher",45,,,,,,,,,,,
"AMAL (IRE)",2018,FILLY,"NO NAY NEVER (USA)","LUNDY ISLAND (GB)","J. R. Jenkins",37,,,,,,,,,,,
"AMALFI BLUEBELL (GB)",2023,FILLY,"MASSAAT (IRE)","OCICAT (USA)","Barry Brennan",47,,,,,,,,,,,
"AMALFI SKYLINE (GB)",2019,GELDING,"TELESCOPE (IRE)","MARIA ANTONIA (IRE)","Barry Brennan",,,,,,,,,,72,,
"AMALFINA (GB)",2022,FILLY,"NATHANIEL (IRE)","NIBBLING (IRE)","D. J. Jeffreys",61,,,,,,,,,,,
"AMALOU (GB)",2023,FILLY,"NATHANIEL (IRE)","JUBILANT LADY (USA)","Daniel & Claire Kubler",51,,,,,,,,,,,
"AMANCIO (GB)",2021,GELDING,"SIXTIES ICON (GB)","ESTRELLADA (GB)","Faye Bramley",,,,,,,,,,119,,
"AMARACHI (IRE)",2022,FILLY,"U S NAVY FLAG (USA)","TOTSIYAH (IRE)","Joseph Parr",54,,,,,,,,,,,
"AMATCHMADEINHEAVEN (GB)",2021,GELDING,"SCHIAPARELLI (GER)","HEAVEN SCENT (GB)","Nigel & Willy Twiston-Davies",,,,,,,,,,110,,
"AMATEUR (IRE)",2013,GELDING,"GIANT'S CAUSEWAY (USA)","ADJA (IRE)","John & Rhys Flint",,,,,,,107,,,,,
"AMATHUS (IRE)",2017,GELDING,"ANJAAL (GB)","EFFIGE (IRE)","Patrick Chamings",54,,,48,,,,,,,,
"AMAYRETTO (GB)",2021,FILLY,"MAYSON (GB)","TAWAASUL (GB)",,73,,,,,,,,,,,
"AMAYSMONT (GB)",2017,GELDING,"MAYSON (GB)","MONTJEN (IRE)","Kevin Frost",47,,,55,,,,,,,,
"AMAZING ANITA (GB)",2023,FILLY,"SERGEI PROKOFIEV (CAN)","PENPAL (IRE)","James Fanshawe",57,,,,,,,,,,,
"AMAZING JOURNEY (IRE)",2023,COLT,"STARSPANGLEDBANNER (AUS)","KISS ME DAILY (FR)","Jamie Osborne",81,,,,,,,,,,,
"AMAZON JUNGLE (IRE)",2023,GELDING,"BUNGLE INTHEJUNGLE (GB)","OHSOSECRET (GB)","John & Sean Quinn",42,,,,,,,,,,,
"AMAZONIAN DREAM (IRE)",2019,GELDING,"BUNGLE INTHEJUNGLE (GB)","GRANDMAS DREAM (GB)","Rod Millman",75,,,,,,,,,,,
"AMBASSADOR (IRE)",2017,GELDING,"INVINCIBLE SPIRIT (IRE)","NATURAL BLOOM (IRE)","Micky Hammond",,,,,,,,,,82,,
"AMBER HAMUR (IRE)",2023,FILLY,"SAXON WARRIOR (JPN)","YELLOWHAMMER (GB)","George Boughey",58,,,,,,,,,,,
"AMBER HONEY (GB)",2022,FILLY,"EXPERT EYE (GB)","STERLING SOUND (USA)",,56,,,,,,,,,,,
"AMBERIA (IRE)",2023,FILLY,"COULSTY (IRE)","SAPPORO (IRE)",,92,,,,,,,,,,,
"AMBIENTE AMIGO (GB)",2021,FILLY,"POSTPONED (IRE)","LABISE (IRE)",,101,,,,,,,,,,,
"AMBIENTE FRIENDLY (IRE)",2021,GELDING,"GLENEAGLES (IRE)","ROXITY (IRE)","James Owen",105,,,,,,,,,115,,
"AMBION VIEW (FR)",2019,GELDING,"BUCK'S BOUM (FR)","ABEONA DE CLERMONT (FR)","Joe Tizzard",,,,,,,,,,124,,
"AMBISHIO (IRE)",2023,GELDING,"KUROSHIO (AUS)","AMBIGUOUS (GB)","Michael Appleby",80,,,,,,,,,,,
"AMEEQ (IRE)",2023,COLT,"MEHMAS (IRE)","SWISS KISS (GB)",,97,,,,,,,,,,,
"AMELIA'S JOY (GB)",2022,FILLY,"EXPERT EYE (GB)","BYRONY (IRE)","Michael Herrington",63,,,,,,,,,,,
"AMELIA'S STAR (IRE)",2020,FILLY,"BERKSHIRE (IRE)","CORDIONE (IRE)","David Killahena & Graeme McPherson",,,,,,,,,,111,,
"AMENON (FR)",2015,GELDING,"SAINT DES SAINTS (FR)","LA COUETRIE (FR)","Fred Timmis",,,,,,,95,,,,,
"AMERICA QUEEN (IRE)",2023,FILLY,"HAVANA GREY (GB)","MISSCOMPLACENT (GB)","Richard Hughes",108,,,,,,,,,,,
"AMERICAN AFFAIR (GB)",2020,GELDING,"WASHINGTON DC (IRE)","CLASSY ANNE (GB)","Jim Goldie",113,,,,,,,,,,,
"AMERICAN BAY (GB)",2021,GELDING,"NEW BAY (GB)","ALL I NEED (IRE)","Paul Midgley",77,-1,,,,,,,,,,
"AMERICAN EMPIRE (IRE)",2020,GELDING,"AUSTRALIA (GB)","RIVERS OF BABYLON (IRE)","Donald McCain",,,,,,,,,,102,,
"AMERICAN FLIGHT (IRE)",2023,FILLY,"STARSPANGLEDBANNER (AUS)","HUMA BIRD (GB)",,69,,,,,,,,,,,
"AMERICAN GAL (GB)",2022,FILLY,"KAMEKO (USA)","GRANNY FRANNY (USA)","Ed Walker",99,,,,,,,,,,,
"AMERICAN GULF (GB)",2023,COLT,"ARDAD (IRE)","MAMMA MORTON (IRE)","Oliver Cole",93,,,,,,,,,,,
"AMERICAN LAND (IRE)",2018,GELDING,"MALINAS (GER)","GOLAN ANNIE (IRE)","Joe Tizzard",,,,,,,,,,118,,
"AMERICAN MIKE (IRE)",2017,GELDING,"MAHLER (GB)","AMERICAN JENNIE (IRE)","Olly Murphy",,,,,,,145,,,138,,
"AMERICAN ROSE (GB)",2020,FILLY,"WASHINGTON DC (IRE)","MORTITIA (GB)","James Evans",48,,,,,,,,,,,
"AMERICAN SNIPER (IRE)",2018,GELDING,"MALINAS (GER)","MOUNTAIN LEAP (IRE)","David Pipe",,,,,,,,,,120,,
"AMERICAN STATE (IRE)",2022,GELDING,"ARIZONA (IRE)","WHAT ENDURES (IRE)","Ivan Furtado",72,,,,,,,,,,,
"AMERICAN STYLE (GB)",2022,GELDING,"WASHINGTON DC (IRE)","DANCE ON THE DAY (IRE)","Kevin Ryan",86,,,,,,,,,,,
"AMERICAN TREASURE (IRE)",2021,FILLY,"U S NAVY FLAG (USA)","STOR MO CHROI (IRE)",,56,,,,,,,,,,,
"AMERICAN TRIO (IRE)",2021,GELDING,"COURT CAVE (IRE)","AUNTY MATTI (IRE)","Fergal O'Brien",,,,,,,,,,105,,
"AMERJEET (GB)",2022,GELDING,"BLUE POINT (IRE)","GUMRA (IRE)","Michael Herrington",53,,,,,,,,,,,
"AMI BONDHU (FR)",2019,GELDING,"CHOEUR DU NORD (FR)","ROGATION (FR)","Nick Gifford",,,,,,,,,,90,,
"AMICA (IRE)",2022,FILLY,"DARK ANGEL (IRE)","KILTARA (IRE)",,61,,,,,,,,,,,
"AMIDNIGHTSTAR (GB)",2017,FILLY,"MIDNIGHT LEGEND (GB)","WISE LITTLE GIRL (GB)","Tom Britten",,,,,,,94,,,,,
"AMIDST THE CHAOS (IRE)",2022,GELDING,"GHAIYYATH (IRE)","SCHOOL RUN (IRE)","Nigel Tinkler",67,,,,,,,,,,,
"AMILOC (GB)",2022,GELDING,"POSTPONED (IRE)","COLIMA (IRE)","Ralph Beckett",116,,,,,,,,,,,
"AMMA LORD (IRE)",2016,GELDING,"ARCADIO (GER)","EMMA JANE (IRE)","Miss Lucy Brown",,,,,,,81,,,,,
"AMMES (IRE)",2022,GELDING,"NO NAY NEVER (USA)","CRYSTAL DIAMOND (GB)","James Owen",91,+2,,,,,,,,124,,
"AMMOONY (FR)",2023,FILLY,"ZARAK (FR)","LES VERTUS (FR)","Tom Clover",69,+2,,,,,,,,,,
"AMOR CORDIS (IRE)",2022,GELDING,"HAVANA GOLD (IRE)","MISTAKEN LOVE (USA)",,59,,,,,,,,,,,
"AMORA QUEEN (GER)",2023,FILLY,"WALDGEIST (GB)","AMONA (IRE)","Charlie Johnston",93,,,,,,,,,,,
"AMORIM (GB)",2023,GELDING,"HAVANA GREY (GB)","STELLARTA (GB)","George Boughey",87,,,,,,,,,,,
"AMPLE WARNING (FR)",2020,FILLY,"NIGHT WISH (GER)","RALIANKA (FR)","Alastair Ralph",,,,,,,,,,92,,
"AMUSED (IRE)",2022,GELDING,"NO NAY NEVER (USA)","HAPPY FACE (IRE)","Jim Boyle",70,-1,,,,,,,,,,
