Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"AL MUBHIR (GB)",2019,GELDING,"FRANKEL (GB)","MUFFRI'HA (IRE)","Kevin Ryan",99,-3,,,,,,,,,,
"AL MUDDY (GB)",2020,GELDING,"KOROPICK (IRE)","SHE'S SO PRETTY (IRE)",,62,,,,,,,,,,,
"AL MUQDAD (GB)",2020,GELDING,"ZOUSTAR (AUS)","MISS WORK OF ART (GB)","David O'Meara",68,,,,,,,,,,,
"AL NAJASHI (GB)",2023,COLT,"TERRITORIES (IRE)","AL HAJEES (GB)","Ollie Sangster",94,,,,,,,,,,,
"AL QAREEM (IRE)",2019,GELDING,"AWTAAD (IRE)","MOQLA (GB)","K. R. Burke",114,,,,,,,,,,,
"AL QUDRA (IRE)",2022,GELDING,"NO NAY NEVER (USA)","PIECE OF PARADISE (IRE)","Charlie Appleby",105,,,,,,,,,,,
"AL RUFAA (FR)",2017,GELDING,"KINGMAN (GB)","CLARMINA (IRE)",,72,,,,,,,,,,,
"AL SAYAH (GB)",2020,FILLY,"GOLDEN HORN (GB)","ACQUISITION (GB)","Neil Mulholland",,,,,,,,,,122,,
"AL SHABAB SPIRIT (IRE)",2023,COLT,"GLENEAGLES (IRE)","TRIESTE (GB)",,80,,,,,,,,,,,
"AL SHABAB STORM (GB)",2021,GELDING,"ADVERTISE (GB)","PRINCESS SALAMAH (IRE)","Michael Appleby",103,,,,,,,,,,,
"AL SHAHAM (IRE)",2023,GELDING,"BLUE POINT (IRE)","CUCKOO CLOCK (GB)","Simon & Ed Crisford",91,,,,,,,,,,,
"AL WAQIDI (GB)",2018,GELDING,"DUBAWI (IRE)","KAZZIANA (GB)",,63,,,,,,,,,,,
"AL WASEELA (IRE)",2022,FILLY,"SIYOUNI (FR)","YOU'RE BACK (USA)",,69,,,,,,,,,,,
"AL WASL STORM (IRE)",2022,COLT,"AFFINISEA (IRE)","DEARBORN (FR)","Owen Burrows",92,,,,,,,,,,,
"AL ZA'AMA (IRE)",2023,COLT,"KHALIFA SAT (IRE)","MY SILVER BULLET (IRE)","Andrew Balding",62,new,,,,,,,,,,
"AL ZANATI (GB)",2023,COLT,"DUBAWI (IRE)","DIVINE IMAGE (USA)","Charlie Appleby",106,,,,,,,,,,,
